"","metric","auc"
"1","pearson",0.331767906177022
"2","spearman",0.326712346344343
"3","kendall",0.327687530474504
"4","bicor",0.325044268226961
"5","binomial",0.346780609233454
"6","MI",0.390586906869916
"7","cosine",0.331767906177022
"8","jaccard",0.348371699130033
"9","canberra",0.409962275771807
"10","euclidean",0.331690917956219
"11","manhattan",0.352426412092283
"12","weighted_rank",0.327482228552365
"13","hamming",0.346087715246234
"14","rho_p",0.325480534811507
"15","phi_s",0.325480534811507
