"","metric","auc"
"1","pearson",0.482173166702386
"2","spearman",0.481809455691472
"3","kendall",0.482967347499826
"4","bicor",0.481519193887149
"5","binomial",0.512941178817093
"6","MI",0.445127187751937
"7","cosine",0.482173166702386
"8","jaccard",0.43565637289667
"9","canberra",0.564741228679753
"10","euclidean",0.482173166702386
"11","manhattan",0.575946134057549
"12","weighted_rank",0.478135223598396
"13","hamming",0.5778225100001
"14","rho_p",0.486614512154274
"15","phi_s",0.486614512154274
