"","metric","auc"
"1","pearson",0.494300149209346
"2","spearman",0.504294719037692
"3","kendall",0.503370143423916
"4","bicor",0.498247945267175
"5","binomial",0.492148903767313
"6","MI",0.506981781877566
"7","cosine",0.494300495951014
"8","jaccard",0.504804940604616
"9","canberra",0.473004748853283
"10","euclidean",0.49785525908613
"11","manhattan",0.474956604532553
"12","weighted_rank",0.506832432299138
"13","hamming",0.474852041828353
"14","rho_p",0.487324760382768
"15","phi_s",0.487324760382768
