"","metric","auc"
"1","pearson",0.352023940854527
"2","spearman",0.36158501101346
"3","kendall",0.35796164813132
"4","bicor",0.354819279854332
"5","binomial",0.377961363023082
"6","MI",0.372519148915343
"7","cosine",0.352024835939606
"8","jaccard",0.354741069961441
"9","canberra",0.41397681822376
"10","euclidean",0.385079688556365
"11","manhattan",0.46441453923135
"12","weighted_rank",0.352630036796375
"13","hamming",0.413555017279259
"14","rho_p",0.430478586827527
"15","phi_s",0.430478586827527
