"","metric","auc"
"1","pearson",0.41608967444666
"2","spearman",0.418288813287882
"3","kendall",0.419526402358605
"4","bicor",0.416847938430258
"5","binomial",0.436941322713255
"6","MI",0.406530047546182
"7","cosine",0.41616852956839
"8","jaccard",0.376916683836101
"9","canberra",0.473633853991879
"10","euclidean",0.517801552318921
"11","manhattan",0.572363301391335
"12","weighted_rank",0.412388511717949
"13","hamming",0.537398170567385
"14","rho_p",0.50762262210701
"15","phi_s",0.50762262210701
