"","metric","auc"
"1","pearson",0.339821483406591
"2","spearman",0.351548576471796
"3","kendall",0.353005816643767
"4","bicor",0.367541750680613
"5","binomial",0.350621257827888
"6","MI",0.405787791147357
"7","cosine",0.33982148434711
"8","jaccard",0.320962502798834
"9","canberra",0.375239930146967
"10","euclidean",0.41423444106067
"11","manhattan",0.492101842690546
"12","weighted_rank",0.357522631316543
"13","hamming",0.430170158202544
"14","rho_p",0.444283369553006
"15","phi_s",0.444283369553006
