"","metric","auc"
"1","pearson",0.548222517637358
"2","spearman",0.549344833249447
"3","kendall",0.551137805696483
"4","bicor",0.544637432900666
"5","binomial",0.548786337782422
"6","MI",0.546985577500707
"7","cosine",0.548325188646902
"8","canberra",0.54785079760973
"9","euclidean",0.563403517599921
"10","manhattan",0.566292311332184
"11","weighted_rank",0.549125953399298
"12","hamming",0.547345330376977
