"","metric","auc"
"1","pearson",0.501749010484772
"2","spearman",0.507848015870146
"3","kendall",0.52699438481286
"4","bicor",0.505700193168784
"5","binomial",0.502144895943653
"6","MI",0.525147958171647
"7","cosine",0.495194472339815
"8","jaccard",0.496629110422827
"9","canberra",0.52504320239565
"10","euclidean",0.493070693374102
"11","manhattan",0.505700264096979
"12","weighted_rank",0.512673378556241
"13","hamming",0.512676957322977
"14","rho_p",0.495706852403779
"15","phi_s",0.493165634653311
