"","metric","auc"
"1","pearson",0.62888367099819
"2","spearman",0.586462495056489
"3","kendall",0.511309062624472
"4","bicor",0.629365421931186
"5","binomial",0.527274351670341
"6","MI",0.444673273010793
"7","cosine",0.668653561724667
"8","jaccard",0.62582473011852
"9","canberra",0.401145539940079
"10","euclidean",0.613449243666725
"11","manhattan",0.6293834443787
"12","weighted_rank",0.486553654920859
"13","hamming",0.486553598644449
"14","rho_p",0.629758657282353
"15","phi_s",0.636195790835968
