"","metric","auc"
"1","pearson",0.528671133459276
"2","spearman",0.504772276232181
"3","kendall",0.443831693435894
"4","bicor",0.539876051191727
"5","binomial",0.539876051191727
"6","MI",0.429261292029562
"7","cosine",0.597380015661894
"8","jaccard",0.539289658974615
"9","canberra",0.425133300782498
"10","euclidean",0.543545672144921
"11","manhattan",0.539876051191727
"12","weighted_rank",0.528625903136554
"13","hamming",0.52859860133663
"14","rho_p",0.541287768981099
"15","phi_s",0.54190814358838
